URL,Size_KB_before,Status Code_before,Indexability_Num_before,Crawl Depth_before,Folder Depth_before,Inlinks_before,Unique Inlinks_before,Outlinks_before,Response Time_before,Word Count_before,FCP_before,CLS_before,LCP Score_before,TBT_Milliseconds_before,Speed Index_before,Performance_Score_before,SEO_Health_Score_before,SEO Status_before,Performance Flag_before,Heavy Page Flag_before,Performance Category_before,Indexability Clean_before,LCP Category_before,Slow Page Flag_before,SEO Issue Status_before,Size_KB_after,Status Code_after,Indexability_Num_after,Crawl Depth_after,Folder Depth_after,Inlinks_after,Unique Inlinks_after,Outlinks_after,Response Time_after,Word Count_after,FCP_after,CLS_after,LCP Score_after,TBT_Milliseconds_after,Speed Index_after,Performance_Score_after,SEO_Health_Score_after,SEO Status_after,Performance Flag_after,Heavy Page Flag_after,Performance Category_after,Indexability Clean_after,LCP Category_after,Slow Page Flag_after,SEO Issue Status_after,Performance_Improvement,Speed_Improvement,LCP_Improvement,SEO_Health_Improvement,Target,Improvement_Class
https://wooferzz.com/,166.67,200,1,0,0,185,46,39,0.5,454,2.3,0,7,0,6,68,90,Good,Fast (?3s),Light Page,Average,1,Poor,Slow,Critical,141.67,200,1,0,0,185,46,39,0.3,454,1.6,0,2,0,3.6,93,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,25,0.2,5,5,1,High Improvement
https://wooferzz.com/blogs/news,79.07,200,1,0,1,94,46,27,0.3,137,2.2,0,5,0,4.1,77,80,Good,Fast (?3s),Light Page,Average,1,Needs Improvement,Slow,Warning,67.21,200,1,0,1,94,46,27,0.18,137,1.5,0,2,0,2.5,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,15,0.12,3,15,1,Low Improvement
https://wooferzz.com/blogs/news/wooferzz-healthy-treats-for-dogs-hope-for-strays,89.56,200,1,0,2,3,2,26,0.4,443,2.1,0,5,10,4,78,75,Average,Fast (?3s),Light Page,Average,1,Needs Improvement,Slow,Warning,76.13,200,1,0,2,3,2,26,0.24,443,1.5,0,2,2,2.4,92,90,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,14,0.16,3,15,1,Low Improvement
https://wooferzz.com/collections/biscuits,221.08,200,1,0,1,102,46,64,0.7,569,2.3,0,6,20,5.7,71,95,Good,Fast (?3s),Light Page,Average,1,Needs Improvement,Slow,Warning,187.92,200,1,0,1,102,46,64,0.42,569,1.6,0,2,4,3.4,96,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,25,0.28,4,0,1,High Improvement
https://wooferzz.com/collections/bowl,187.74,200,1,0,1,102,46,58,0.3,454,1.1,0,2,100,2.2,98,90,Good,Fast (?3s),Light Page,Good,1,Good,Good,Good,187.74,200,1,0,1,102,46,58,0.3,454,1.1,0,2,100,2.2,98,90,Good,Fast (?3s),Light Page,Good,1,Good,Good,Good,0,0,0,0,0,No Improvement
https://wooferzz.com/collections/munchies,138.22,200,1,0,1,102,46,42,0.5,256,2.1,0,5,30,4.3,77,80,Good,Fast (?3s),Light Page,Average,1,Needs Improvement,Slow,Warning,117.49,200,1,0,1,102,46,42,0.3,256,1.5,0,2,6,2.6,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,15,0.2,3,15,1,Low Improvement
https://wooferzz.com/pages/contact-us,77.14,200,1,0,1,93,46,25,0.3,175,2.1,0,5,40,3.7,79,80,Good,Fast (?3s),Light Page,Average,1,Needs Improvement,Slow,Warning,65.57,200,1,0,1,93,46,25,0.18,175,1.5,0,2,8,2.2,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,13,0.12,3,15,1,Low Improvement
https://wooferzz.com/pages/our-story,79.05,200,1,0,1,93,46,25,0.5,426,1.1,0,2,40,1.8,98,90,Good,Fast (?3s),Light Page,Good,1,Good,Good,Good,79.05,200,1,0,1,93,46,25,0.5,426,1.1,0,2,40,1.8,98,90,Good,Fast (?3s),Light Page,Good,1,Good,Good,Good,0,0,0,0,0,No Improvement
https://wooferzz.com/pages/subscription,89.67,200,1,0,1,93,46,25,0.3,237,2.2,0,5,20,5.1,75,80,Good,Fast (?3s),Light Page,Average,1,Needs Improvement,Slow,Warning,76.22,200,1,0,1,93,46,25,0.18,237,1.5,0,2,4,3.1,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,17,0.12,3,15,1,Low Improvement
https://wooferzz.com/products/buy-4-get-1-free-1,140.95,200,1,0,1,50,46,38,0.4,556,1.7,0,4,40,2.7,88,95,Good,Fast (?3s),Light Page,Average,1,Good,Average,Good,119.81,200,1,0,1,50,46,38,0.24,556,1.2,0,1,8,1.6,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,4,0.16,3,0,1,Low Improvement
https://wooferzz.com/products/buy-4-get-1-free-400grams,177.65,200,1,0,1,4,1,38,0.3,557,1.9,0,6,20,3.4,76,80,Good,Fast (?3s),Light Page,Average,1,Needs Improvement,Slow,Warning,151,200,1,0,1,4,1,38,0.18,557,1.3,0,2,4,2,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,16,0.12,4,15,1,Low Improvement
https://wooferzz.com/products/buy-4-get-1-free-700grams,177.68,200,1,0,1,50,46,38,0.5,557,2.9,0,7,100,5.7,66,95,Good,Fast (?3s),Light Page,Average,1,Needs Improvement,Slow,Warning,151.03,200,1,0,1,50,46,38,0.3,557,2,0,2,20,3.4,91,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,25,0.2,5,0,1,High Improvement
https://wooferzz.com/products/calcium-sticks,146.85,200,1,0,1,80,38,38,0.4,370,2.9,0,8,70,5.7,66,90,Good,Fast (?3s),Light Page,Average,1,Poor,Slow,Critical,124.82,200,1,0,1,80,38,38,0.24,370,2,0,3,14,3.4,91,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,25,0.16,5,5,1,High Improvement
https://wooferzz.com/products/chicken-munchies-1,153.97,200,1,0,1,80,38,38,0.4,380,2.7,0,8,20,6.1,66,90,Good,Fast (?3s),Light Page,Average,1,Poor,Slow,Critical,130.87,200,1,0,1,80,38,38,0.24,380,1.9,0,3,4,3.7,91,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,25,0.16,5,5,1,High Improvement
https://wooferzz.com/products/mint-munchies-1,156.84,200,1,0,1,80,38,38,0.6,393,2.8,0,8,20,6.2,66,90,Good,Fast (?3s),Light Page,Average,1,Poor,Slow,Critical,133.31,200,1,0,1,80,38,38,0.36,393,2,0,3,4,3.7,91,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,25,0.24,5,5,1,High Improvement
https://wooferzz.com/products/mutton-munchies-1,153.66,200,1,0,1,80,38,38,0.5,397,2.7,0,7,10,5.8,67,90,Good,Fast (?3s),Light Page,Average,1,Poor,Slow,Critical,130.61,200,1,0,1,80,38,38,0.3,397,1.9,0,2,2,3.5,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,25,0.2,5,5,1,High Improvement
https://wooferzz.com/products/pawperz-chicken-biscuits,188.21,200,1,0,1,6,2,38,0.4,486,2.9,0,8,60,5.9,66,85,Good,Fast (?3s),Light Page,Average,1,Poor,Slow,Critical,159.98,200,1,0,1,6,2,38,0.24,486,2,0,3,12,3.5,91,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,25,0.16,5,10,1,High Improvement
https://wooferzz.com/products/pawperz-chicken-biscuts,157.82,200,1,0,1,6,2,38,0.5,451,2.9,0,8,90,5.7,66,85,Good,Fast (?3s),Light Page,Average,1,Poor,Slow,Critical,134.15,200,1,0,1,6,2,38,0.3,451,2,0,3,18,3.4,91,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,25,0.2,5,10,1,High Improvement
https://wooferzz.com/products/pawperz-chicken-biscuts-700gm,157.72,200,1,0,1,6,2,38,0.4,451,1.7,0,4,0,3,85,85,Good,Fast (?3s),Light Page,Average,1,Good,Slow,Good,134.06,200,1,0,1,6,2,38,0.24,451,1.2,0,1,0,1.8,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,7,0.16,3,10,1,Low Improvement
https://wooferzz.com/products/pawperz-egg-biscuits,157.21,200,1,0,1,6,2,38,0.6,388,2.8,0,7,190,5.7,64,85,Good,Fast (?3s),Light Page,Average,1,Needs Improvement,Slow,Warning,133.63,200,1,0,1,6,2,38,0.36,388,2,0,2,38,3.4,89,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,25,0.24,5,10,1,High Improvement
https://wooferzz.com/products/pawperz-egg-biscuits-1,187.47,200,1,0,1,6,2,38,0.5,423,2.9,0,8,80,5.9,66,85,Good,Fast (?3s),Light Page,Average,1,Poor,Slow,Critical,159.35,200,1,0,1,6,2,38,0.3,423,2,0,3,16,3.5,91,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,25,0.2,5,10,1,High Improvement
https://wooferzz.com/products/pawperz-egg-biscuits-700gm,157.11,200,1,0,1,6,2,38,0.4,388,2.7,0,6,10,4.8,70,85,Good,Fast (?3s),Light Page,Average,1,Needs Improvement,Slow,Warning,133.54,200,1,0,1,6,2,38,0.24,388,1.9,0,2,2,2.9,95,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,25,0.16,4,10,1,High Improvement
https://wooferzz.com/products/pawperz-milk-biscuits,157.43,200,1,0,1,6,2,38,0.5,417,2.7,0,8,140,6,65,85,Good,Fast (?3s),Light Page,Average,1,Poor,Slow,Critical,133.82,200,1,0,1,6,2,38,0.3,417,1.9,0,3,28,3.6,90,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,25,0.2,5,10,1,High Improvement
https://wooferzz.com/products/pawperz-milk-biscuits-1,187.92,200,1,0,1,6,2,38,0.3,452,1.7,0.002,7,20,2.9,76,85,Good,Fast (?3s),Light Page,Average,1,Needs Improvement,Slow,Warning,159.73,200,1,0,1,6,2,38,0.18,452,1.2,0,2,4,1.7,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,16,0.12,5,10,1,Low Improvement
https://wooferzz.com/products/pawperz-milk-biscuits-250-mg,152.15,200,1,0,1,6,2,38,0.4,411,2.2,0,5,80,2.8,82,85,Good,Fast (?3s),Light Page,Average,1,Good,Slow,Good,129.33,200,1,0,1,6,2,38,0.24,411,1.5,0,2,16,1.7,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,10,0.16,3,10,1,Low Improvement
https://wooferzz.com/products/pawperz-milk-biscuits-700gm,157.33,200,1,0,1,6,2,38,0.4,417,2.8,0,8,90,6.1,65,85,Good,Fast (?3s),Light Page,Average,1,Poor,Slow,Critical,133.73,200,1,0,1,6,2,38,0.24,417,2,0,3,18,3.7,90,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,25,0.16,5,10,1,High Improvement
https://wooferzz.com/products/pawperz-spinach-bicuits,158.32,200,1,0,1,6,2,38,0.7,411,1.7,0,5,0,3,83,85,Good,Fast (?3s),Light Page,Average,1,Good,Slow,Good,134.57,200,1,0,1,6,2,38,0.42,411,1.2,0,2,0,1.8,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,9,0.28,3,10,1,Low Improvement
https://wooferzz.com/products/pawperz-spinach-bicuits-700gm,157.37,200,1,0,1,6,2,38,0.6,411,2.9,0,8,50,6.1,66,85,Good,Fast (?3s),Light Page,Average,1,Poor,Slow,Critical,133.76,200,1,0,1,6,2,38,0.36,411,2,0,3,10,3.7,91,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,25,0.24,5,10,1,High Improvement
https://wooferzz.com/products/pawperz-spinach-biscuits,186.03,200,1,0,1,6,2,38,0.5,442,1.7,0,4,20,3,89,85,Good,Fast (?3s),Light Page,Average,1,Good,Average,Good,158.13,200,1,0,1,6,2,38,0.3,442,1.2,0,1,4,1.8,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,3,0.2,3,10,1,Low Improvement
https://wooferzz.com/products/pawperzz-chicken-biscuits,158.83,200,1,0,1,6,2,38,0.5,451,2.7,0,6,10,4.5,71,85,Good,Fast (?3s),Light Page,Average,1,Needs Improvement,Slow,Warning,135.01,200,1,0,1,6,2,38,0.3,451,1.9,0,2,2,2.7,96,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,25,0.2,4,10,1,High Improvement
https://wooferzz.com/products/pawperzz-egg-biscuits-250g,158.22,200,1,0,1,6,2,38,0.5,394,2.7,0,7,10,5.7,67,85,Good,Fast (?3s),Light Page,Average,1,Poor,Slow,Critical,134.49,200,1,0,1,6,2,38,0.3,394,1.9,0,2,2,3.4,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,25,0.2,5,10,1,High Improvement
https://wooferzz.com/products/pawperzz-spinach-biscuits,156.64,200,1,0,1,6,2,38,0.7,411,2.7,0,7,80,5.9,66,85,Good,Fast (?3s),Light Page,Average,1,Poor,Slow,Critical,133.14,200,1,0,1,6,2,38,0.42,411,1.9,0,2,16,3.5,91,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,25,0.28,5,10,1,High Improvement
https://wooferzz.com/products/premium-bowls,148.16,200,1,0,1,6,2,38,0.6,315,2.7,0,6,20,4.4,72,85,Good,Fast (?3s),Light Page,Average,1,Needs Improvement,Slow,Warning,125.94,200,1,0,1,6,2,38,0.36,315,1.9,0,2,4,2.6,97,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,25,0.24,4,10,1,High Improvement
https://wooferzz.com/products/premium-bowls-1,146.29,200,1,0,1,6,2,38,0.9,315,2.7,0,6,20,4.8,70,85,Good,Fast (?3s),Light Page,Average,1,Needs Improvement,Slow,Warning,124.35,200,1,0,1,6,2,38,0.54,315,1.9,0,2,4,2.9,95,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,25,0.36,4,10,1,High Improvement
https://wooferzz.com/products/premium-bowls-2,146.29,200,1,0,1,6,2,38,0.6,315,2.7,0,7,10,4.5,70,85,Good,Fast (?3s),Light Page,Average,1,Needs Improvement,Slow,Warning,124.35,200,1,0,1,6,2,38,0.36,315,1.9,0,2,2,2.7,95,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,25,0.24,5,10,1,High Improvement
https://wooferzz.com/products/premium-bowls-3,146.29,200,1,0,1,6,2,38,0.4,315,2.9,0,7,20,5.9,67,85,Good,Fast (?3s),Light Page,Average,1,Needs Improvement,Slow,Warning,124.35,200,1,0,1,6,2,38,0.24,315,2,0,2,4,3.5,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,25,0.16,5,10,1,High Improvement
https://wooferzz.com/products/premium-bowls-4,152.25,200,1,0,1,6,2,38,0.6,321,2.7,0,7,90,5.8,67,85,Good,Fast (?3s),Light Page,Average,1,Poor,Slow,Critical,129.41,200,1,0,1,6,2,38,0.36,321,1.9,0,2,18,3.5,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,25,0.24,5,10,1,High Improvement
https://wooferzz.com/products/slow-feeding-bowl,148.27,200,1,0,1,6,2,38,0.7,319,2.7,0,6,40,4.5,71,85,Good,Fast (?3s),Light Page,Average,1,Needs Improvement,Slow,Warning,126.03,200,1,0,1,6,2,38,0.42,319,1.9,0,2,8,2.7,96,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,25,0.28,4,10,1,High Improvement
https://wooferzz.com/products/slow-feeding-bowl-1,148.31,200,1,0,1,6,2,38,0.5,319,1.6,0,4,30,2.9,85,85,Good,Fast (?3s),Light Page,Average,1,Good,Slow,Good,126.06,200,1,0,1,6,2,38,0.3,319,1.1,0,1,6,1.7,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,7,0.2,3,10,1,Low Improvement
https://wooferzz.com/products/slow-feeding-bowl-2,148.31,200,1,0,1,6,2,38,0.6,319,2.7,0,7,80,5.8,67,85,Good,Fast (?3s),Light Page,Average,1,Poor,Slow,Critical,126.06,200,1,0,1,6,2,38,0.36,319,1.9,0,2,16,3.5,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,25,0.24,5,10,1,High Improvement
https://wooferzz.com/products/spinach-munchies-1,155.57,200,1,0,1,80,38,38,0.8,382,3,0,7,70,5.8,66,90,Good,Fast (?3s),Light Page,Average,1,Poor,Slow,Critical,132.23,200,1,0,1,80,38,38,0.48,382,2.1,0,2,14,3.5,91,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,25,0.32,5,5,1,High Improvement
https://wooferzz.com/products/stainless-premium-bowls,138.44,200,1,0,1,6,2,38,1.3,312,2.9,0,7,30,6.1,66,85,Good,Fast (?3s),Light Page,Average,1,Poor,Slow,Critical,117.67,200,1,0,1,6,2,38,0.78,312,2,0,2,6,3.7,91,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,25,0.52,5,10,1,High Improvement
https://wooferzz.com/products/stainless-premium-bowls-1,138.47,200,1,0,1,6,2,38,1.4,312,2.9,0,7,20,6.1,66,85,Good,Fast (?3s),Light Page,Average,1,Poor,Slow,Critical,117.7,200,1,0,1,6,2,38,0.84,312,2,0,2,4,3.7,91,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,25,0.56,5,10,1,High Improvement
https://wooferzz.com/products/stainless-premium-bowls-2,138.47,200,1,0,1,6,2,38,0.9,312,2.9,0,7,140,5.8,65,85,Good,Fast (?3s),Light Page,Average,1,Poor,Slow,Critical,117.7,200,1,0,1,6,2,38,0.54,312,2,0,2,28,3.5,90,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,25,0.36,5,10,1,High Improvement
https://wooferzz.com/products/stainless-premium-bowls-3,138.47,200,1,0,1,6,2,38,0.7,312,1.7,0,6,20,2.9,77,85,Good,Fast (?3s),Light Page,Average,1,Needs Improvement,Slow,Warning,117.7,200,1,0,1,6,2,38,0.42,312,1.2,0,2,4,1.7,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,15,0.28,4,10,1,Low Improvement
https://wooferzz.com/products/water-bowls,158.91,200,1,0,1,6,2,38,1.1,337,2.7,0,8,0,6,67,85,Good,Fast (?3s),Light Page,Average,1,Poor,Slow,Critical,135.07,200,1,0,1,6,2,38,0.66,337,1.9,0,3,0,3.6,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,25,0.44,5,10,1,High Improvement
https://wooferzz.com/products/chicken-jerky-treats,192.05,200,1,1,1,4,3,31,0.65,451,1.8,0,4,30,5.2,68,75,Good,Slow,Heavy Page,Poor,1,Needs Improvement,Slow,Critical,120.23,200,1,1,1,5,2,33,0.17,354,1.7,0,3,2,2.3,92,100,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good,24,0.48,1,25,1,High Improvement
